iter	RMSE
0	0.2509281196
1	0.2470182608
2	0.2431187961
3	0.2396554349
4	0.2362072697
5	0.2332721275
6	0.2304810308
7	0.2278485594
8	0.2253769116
9	0.2229643702
10	0.2210890476
11	0.2192774739
12	0.2172635803
13	0.21532747
14	0.2135289544
15	0.2118769491
16	0.2106272309
17	0.2092353307
18	0.2078449067
19	0.2065728607
20	0.2054058874
21	0.2044790655
22	0.2034540586
23	0.202250979
24	0.2014412429
25	0.2005212409
26	0.1998790247
27	0.1990333824
28	0.1984098437
29	0.197767933
30	0.1970796339
31	0.1964189204
32	0.1958005191
33	0.195154259
34	0.1944798185
35	0.1938834876
36	0.1933818039
37	0.1930245571
38	0.1924117745
39	0.1918871417
40	0.1913983202
41	0.1910302584
42	0.1905659601
43	0.1900928
44	0.1895891011
45	0.1892658849
46	0.1888854026
47	0.1884545091
48	0.1880510967
49	0.1877391752
50	0.1873174252
51	0.1870225742
52	0.1865888339
53	0.1861874291
54	0.1858313407
55	0.1855659787
56	0.185281022
57	0.1849540704
58	0.1845511248
59	0.1843414926
60	0.184099514
61	0.1838589091
62	0.1836024477
63	0.1832450543
64	0.1830445165
65	0.1828246265
66	0.1825853403
67	0.1824161721
68	0.1820950361
69	0.1818681388
70	0.1816648526
71	0.1815031024
72	0.1812448179
73	0.1810637502
74	0.1808816475
75	0.1806760008
76	0.1804864926
77	0.1802301419
78	0.1798454351
79	0.1796606556
80	0.1794886994
81	0.179251734
82	0.1791603382
83	0.178837447
84	0.178687699
85	0.1784907263
86	0.1783785763
87	0.1781871795
88	0.1780343324
89	0.1778966799
90	0.1775786652
91	0.1774337929
92	0.177309039
93	0.1770834599
94	0.1768824837
95	0.1766974513
96	0.1765620361
97	0.1763277884
98	0.1761671306
99	0.1760301621
100	0.1758690947
101	0.175750648
102	0.1755791424
103	0.1753252525
104	0.1751220699
105	0.1749077941
106	0.1747178529
107	0.174533132
108	0.1743034559
109	0.1740585884
110	0.1738492381
111	0.173691247
112	0.1735934389
113	0.1735073659
114	0.1733299262
115	0.1730768204
116	0.1729171391
117	0.172781921
118	0.1725471166
119	0.1724064
120	0.1722577187
121	0.1720990031
122	0.1719606803
123	0.1718448736
124	0.1717463798
125	0.1715936409
126	0.1715239481
127	0.1713165104
128	0.1711519331
129	0.171035357
130	0.1709096678
131	0.1708098999
132	0.1706942497
133	0.1704887498
134	0.1703435356
135	0.1702032371
136	0.1701051071
137	0.1699743319
138	0.1698880511
139	0.1697827021
140	0.1696310539
141	0.1695243124
142	0.1694136307
143	0.169303099
144	0.1691745962
145	0.1689817268
146	0.1688711289
147	0.1687478841
148	0.1686347217
149	0.1685190101
150	0.1684441623
151	0.1682684177
152	0.1681836013
153	0.1680741467
154	0.1679751626
155	0.1678989724
156	0.1678063503
157	0.1677175425
158	0.1675806322
159	0.1675041083
160	0.1673530951
161	0.1672456325
162	0.1671397343
163	0.1670277719
164	0.166927949
165	0.1668070692
166	0.1667111301
167	0.1665876994
168	0.1664794225
169	0.1663366094
170	0.1661932916
171	0.1660923864
172	0.1660040539
173	0.165927332
174	0.1658029702
175	0.1657032365
176	0.1656012209
177	0.1654862895
178	0.1653934319
179	0.1652998945
180	0.1651887126
181	0.1648502944
182	0.1647487349
183	0.1646219616
184	0.1644968796
185	0.1643111488
186	0.1642246647
187	0.1639493797
188	0.1638437039
189	0.1637531995
190	0.1635828388
191	0.1634160169
192	0.1633127816
193	0.163220856
194	0.1631310426
195	0.1630186944
196	0.162778453
197	0.1626869771
198	0.1625603978
199	0.1624590335
200	0.1623192515
201	0.1622166884
202	0.1621216613
203	0.162015788
204	0.1619176025
205	0.1618260037
206	0.1617352122
207	0.1616190021
208	0.1615108177
209	0.1614493866
210	0.1613144862
211	0.1612181786
212	0.1611014104
213	0.1610289133
214	0.1609445258
215	0.1608528243
216	0.1607652587
217	0.1606803732
218	0.160628899
219	0.1605489007
220	0.1604694928
221	0.1604090292
222	0.1602984196
223	0.1602250307
224	0.1601685473
225	0.160089982
226	0.1597999051
227	0.1597216487
228	0.1596873367
229	0.1596179031
230	0.1595108296
231	0.1594293825
232	0.1592103299
233	0.1591398404
234	0.1590787567
235	0.1590133772
236	0.1589438337
237	0.158832402
238	0.1587103958
239	0.1585495363
240	0.1585235263
241	0.158454512
242	0.1583809235
243	0.1583489402
244	0.1582067698
245	0.1581304292
246	0.1580091669
247	0.1579292885
248	0.1579042826
249	0.1578314628
250	0.1576690993
251	0.1575046296
252	0.1574275935
253	0.1573533557
254	0.1573258848
255	0.1573019799
256	0.1572099371
257	0.1570895158
258	0.1570180746
259	0.1569522627
260	0.1567065172
261	0.1566239656
262	0.1565619128
263	0.1564915625
264	0.1563298961
265	0.1562400745
266	0.1561849324
267	0.156124322
268	0.1561008169
269	0.1560380652
270	0.1558667427
271	0.1558121352
272	0.1556932498
273	0.1556021492
274	0.1555791575
275	0.1554035192
276	0.1553385067
277	0.1552743718
278	0.155203667
279	0.155111486
280	0.1549409566
281	0.1548523471
282	0.1546876162
283	0.1545093136
284	0.1544420231
285	0.1543932846
286	0.1543342555
287	0.1542770368
288	0.1541555613
289	0.1541018935
290	0.1539615373
291	0.1539388197
292	0.1538445339
293	0.1537186615
294	0.1536647599
295	0.1535494174
296	0.1535271686
297	0.15346611
298	0.1533463409
299	0.1532810597
300	0.1532112482
301	0.153161348
302	0.1530985498
303	0.1530769648
304	0.1529487112
305	0.1528885986
306	0.1528674803
307	0.1527869348
308	0.152673445
309	0.152611885
310	0.1525552794
311	0.1525023224
312	0.1524542974
313	0.152379609
314	0.152341397
315	0.1522430981
316	0.1522222634
317	0.1521320537
318	0.1521117102
319	0.1520041388
320	0.1518945311
321	0.1517429394
322	0.1516928053
323	0.1515685475
324	0.1514904475
325	0.1514027356
326	0.1512681349
327	0.1512155058
328	0.151162534
329	0.1511249126
330	0.1510696492
331	0.150965587
332	0.1508971558
333	0.1508169349
334	0.1507683394
335	0.1506068072
336	0.1505029789
337	0.150386269
338	0.1503362749
339	0.1503004679
340	0.1502457094
341	0.1501908099
342	0.1501709369
343	0.1500451394
344	0.149975791
345	0.1499241419
346	0.1498690874
347	0.1498125465
348	0.1497654108
349	0.1497459781
350	0.1496783946
351	0.1496001777
352	0.1495812155
353	0.1495069058
354	0.1493804914
355	0.1493330291
356	0.1492266759
357	0.1491553496
358	0.1490599878
359	0.1489695924
360	0.1489116895
361	0.1488024378
362	0.1487008609
363	0.1486350403
364	0.1485701582
365	0.148518791
366	0.1483913543
367	0.1483491179
368	0.1481645305
369	0.1481187634
370	0.1480859025
371	0.1480673448
372	0.1480366645
373	0.1479916973
374	0.1479117069
375	0.1478671565
376	0.1477651561
377	0.1477293781
378	0.1476748669
379	0.1475934107
380	0.1475378002
381	0.1475195912
382	0.1474746285
383	0.1474311065
384	0.1473899072
385	0.1473150864
386	0.1471787505
387	0.1471609144
388	0.1470605625
389	0.1469901898
390	0.1469255005
391	0.1468812798
392	0.1468097784
393	0.146696011
394	0.1465825415
395	0.1464385041
396	0.1463977526
397	0.1462964205
398	0.1462357299
399	0.146190037
400	0.1461533753
401	0.146061729
402	0.1460442776
403	0.1459787593
404	0.1458570673
405	0.1458033409
406	0.1457180827
407	0.1456868425
408	0.1456231699
409	0.1455111609
410	0.145473056
411	0.1454273755
412	0.1453424321
413	0.1452771384
414	0.145224394
415	0.1451421369
416	0.1451249898
417	0.1450835313
418	0.1450554645
419	0.1449898111
420	0.1449487571
421	0.1448783432
422	0.1448211228
423	0.1447816865
424	0.1447071286
425	0.1446901176
426	0.1446377908
427	0.1445026106
428	0.1444261829
429	0.1443943411
