iter	Passed	Remaining
0	4	4703
1	10	4990
2	13	4470
3	16	4185
4	19	3959
5	22	3696
6	24	3486
7	27	3359
8	30	3305
9	32	3230
10	35	3151
11	37	3127
12	40	3060
13	42	3022
14	45	3001
15	48	2964
16	50	2935
17	53	2917
18	55	2887
19	58	2867
20	61	2855
21	63	2835
22	67	2850
23	72	2931
24	75	2953
25	79	2976
26	82	2960
27	84	2948
28	87	2925
29	90	2937
30	93	2915
31	95	2899
32	98	2881
33	100	2859
34	103	2843
35	106	2847
36	109	2838
37	111	2820
38	114	2813
39	116	2795
40	118	2778
41	121	2777
42	124	2774
43	126	2757
44	129	2742
45	131	2727
46	133	2710
47	136	2702
48	139	2702
49	141	2689
50	143	2674
51	145	2658
52	148	2646
53	150	2631
54	153	2634
55	156	2634
56	158	2623
57	160	2612
58	163	2606
59	165	2594
60	167	2581
61	170	2575
62	172	2569
63	175	2560
64	177	2548
65	179	2539
66	181	2526
67	183	2517
68	186	2513
69	188	2505
70	190	2496
71	192	2484
72	195	2481
73	197	2476
74	200	2471
75	203	2469
76	205	2462
77	207	2455
78	209	2446
79	212	2441
80	214	2434
81	217	2432
82	220	2436
83	223	2437
84	226	2435
85	228	2430
86	231	2426
87	233	2419
88	236	2416
89	238	2412
90	241	2410
91	243	2406
92	246	2401
93	248	2398
94	251	2397
95	254	2397
96	257	2395
97	259	2389
98	262	2386
99	264	2384
100	267	2382
101	270	2379
102	272	2375
103	275	2371
104	278	2369
105	280	2365
106	282	2361
107	285	2358
108	288	2355
109	291	2356
110	293	2354
111	296	2351
112	299	2349
113	301	2346
114	304	2344
115	307	2340
116	309	2337
117	312	2333
118	315	2332
119	317	2330
120	320	2328
121	323	2326
122	325	2322
123	328	2319
124	330	2316
125	333	2314
126	336	2312
127	338	2309
128	341	2306
129	344	2303
130	346	2300
131	349	2300
132	352	2297
133	355	2295
134	357	2293
135	360	2290
136	363	2288
137	366	2287
138	368	2285
139	371	2281
140	373	2277
141	376	2274
142	379	2273
143	382	2271
144	384	2269
145	387	2267
146	390	2263
147	392	2259
148	395	2257
149	398	2260
150	401	2258
151	404	2257
152	407	2254
153	410	2252
154	412	2249
155	415	2245
156	417	2242
157	420	2240
158	422	2237
159	425	2233
160	427	2229
161	430	2226
162	433	2224
163	435	2221
164	438	2218
165	440	2214
166	443	2210
167	445	2207
168	448	2205
169	451	2203
170	453	2200
171	456	2197
172	459	2194
173	461	2191
174	464	2188
175	466	2185
176	469	2182
177	471	2178
178	474	2175
179	476	2171
180	479	2168
181	481	2165
182	484	2162
183	487	2161
184	489	2158
185	492	2155
186	495	2154
187	498	2151
188	500	2147
189	502	2144
190	505	2141
191	508	2139
192	511	2136
193	513	2133
194	515	2130
195	518	2126
196	520	2123
197	523	2119
198	525	2115
199	528	2112
200	530	2110
201	533	2109
202	536	2106
203	538	2102
204	540	2097
205	542	2092
206	544	2087
207	547	2083
208	549	2079
209	551	2075
210	553	2071
211	556	2067
212	558	2063
213	560	2059
214	562	2055
215	565	2051
216	567	2047
217	569	2043
218	571	2039
219	573	2034
220	576	2030
221	578	2026
222	580	2021
223	582	2016
224	584	2013
225	586	2009
226	588	2004
227	590	1999
228	592	1994
229	594	1989
230	596	1984
231	598	1981
232	600	1977
233	602	1972
234	604	1967
235	606	1962
236	608	1958
237	610	1953
238	611	1948
239	613	1944
240	616	1940
241	618	1936
242	620	1932
243	622	1929
244	624	1925
245	626	1921
246	628	1917
247	631	1914
248	633	1911
249	635	1907
250	637	1903
251	640	1900
252	642	1895
253	643	1891
254	645	1887
255	648	1883
256	650	1879
257	652	1875
258	653	1870
259	655	1867
260	658	1863
261	660	1859
262	662	1855
263	664	1851
264	666	1848
265	668	1844
266	670	1840
267	672	1836
268	674	1832
269	676	1827
270	678	1823
271	680	1821
272	682	1818
273	684	1814
274	687	1811
275	689	1807
276	690	1803
277	692	1799
278	695	1796
279	697	1793
280	699	1789
281	701	1785
282	703	1781
283	705	1777
284	706	1773
285	708	1770
286	711	1766
287	713	1763
288	715	1760
289	717	1757
290	720	1754
291	722	1750
292	724	1747
293	726	1743
294	728	1741
295	730	1738
296	733	1735
297	735	1731
298	737	1728
299	739	1724
300	741	1721
301	743	1718
302	745	1715
303	747	1711
304	749	1708
305	751	1704
306	753	1700
307	755	1697
308	757	1693
309	759	1690
310	761	1687
311	763	1684
312	765	1680
313	767	1677
314	769	1673
315	771	1670
316	773	1667
317	775	1664
318	778	1661
319	780	1658
320	782	1655
321	784	1652
322	786	1649
323	788	1645
324	791	1643
325	793	1640
326	795	1637
327	797	1634
328	799	1630
329	801	1627
330	803	1623
331	805	1620
332	807	1617
333	809	1614
334	812	1611
335	814	1609
336	816	1606
337	818	1603
338	820	1599
339	822	1596
340	825	1594
341	827	1592
342	829	1589
343	831	1585
344	833	1582
345	835	1579
346	837	1575
347	839	1572
348	841	1569
349	843	1566
350	845	1563
351	847	1560
352	849	1556
353	851	1553
354	853	1549
355	854	1546
356	857	1543
357	859	1541
358	861	1538
359	863	1535
360	865	1532
361	867	1528
362	869	1525
363	871	1522
364	874	1520
365	876	1518
366	878	1515
367	880	1512
368	882	1509
369	884	1506
370	886	1503
371	888	1500
372	890	1497
373	892	1494
374	894	1491
375	896	1488
376	898	1484
377	900	1481
378	902	1479
379	905	1476
380	907	1474
381	909	1471
382	912	1469
383	918	1472
384	922	1473
385	925	1471
386	928	1470
387	930	1468
388	933	1465
389	935	1463
390	938	1461
391	940	1458
392	942	1456
393	945	1453
394	947	1451
395	950	1449
396	952	1446
397	955	1444
398	957	1442
399	959	1439
400	961	1436
401	964	1434
402	966	1432
403	969	1429
404	971	1427
405	973	1424
406	976	1422
407	978	1420
408	981	1417
409	983	1415
410	985	1412
411	988	1410
412	990	1407
413	992	1404
414	994	1401
415	996	1398
416	998	1396
417	1001	1393
418	1003	1391
419	1005	1388
420	1007	1385
421	1009	1382
422	1011	1379
423	1013	1377
424	1015	1374
425	1018	1371
426	1020	1369
427	1022	1366
428	1024	1363
429	1026	1360
430	1028	1357
431	1030	1354
432	1032	1352
433	1034	1349
434	1036	1346
435	1038	1343
436	1040	1340
437	1042	1338
438	1044	1335
439	1047	1332
440	1049	1330
441	1051	1327
442	1053	1324
443	1055	1322
444	1057	1319
445	1059	1316
446	1062	1314
447	1064	1311
448	1066	1308
449	1068	1305
450	1070	1302
451	1072	1300
452	1074	1297
453	1076	1294
454	1078	1291
455	1080	1289
456	1082	1286
457	1084	1283
458	1087	1281
459	1089	1278
460	1091	1276
461	1093	1273
462	1096	1271
463	1098	1268
464	1100	1266
465	1102	1263
466	1104	1260
467	1106	1257
468	1108	1255
469	1110	1252
470	1112	1249
471	1114	1247
472	1116	1244
473	1118	1241
474	1120	1238
475	1122	1235
476	1124	1232
477	1126	1230
478	1129	1228
479	1131	1225
480	1133	1222
481	1134	1219
482	1136	1216
483	1138	1213
484	1140	1211
485	1142	1208
486	1144	1205
487	1146	1203
488	1148	1200
489	1150	1197
490	1153	1195
491	1154	1192
492	1156	1189
493	1159	1187
494	1161	1185
495	1164	1183
496	1166	1180
497	1169	1178
498	1171	1176
499	1174	1174
500	1177	1172
501	1180	1170
502	1182	1168
503	1185	1166
504	1188	1165
505	1191	1163
506	1194	1161
507	1197	1159
508	1200	1157
509	1202	1155
510	1205	1153
511	1207	1151
512	1210	1148
513	1213	1147
514	1216	1145
515	1219	1143
516	1222	1141
517	1225	1140
518	1228	1138
519	1231	1136
520	1233	1134
521	1236	1132
522	1239	1130
523	1242	1128
524	1245	1126
525	1247	1124
526	1250	1122
527	1253	1120
528	1256	1118
529	1259	1116
530	1262	1115
531	1265	1113
532	1268	1111
533	1270	1108
534	1273	1106
535	1276	1105
536	1279	1103
537	1282	1101
538	1284	1098
539	1287	1096
540	1290	1094
541	1292	1092
542	1295	1090
543	1298	1088
544	1300	1085
545	1303	1083
546	1305	1081
547	1308	1079
548	1310	1076
549	1313	1074
550	1316	1072
551	1319	1070
552	1321	1068
553	1324	1066
554	1327	1064
555	1330	1062
556	1333	1060
557	1336	1058
558	1338	1056
559	1341	1053
560	1343	1051
561	1346	1049
562	1348	1046
563	1351	1044
564	1353	1042
565	1356	1040
566	1358	1037
567	1361	1035
568	1364	1033
569	1366	1031
570	1369	1028
571	1372	1026
572	1374	1024
573	1377	1022
574	1380	1020
575	1382	1017
576	1385	1015
577	1388	1013
578	1391	1011
579	1394	1009
580	1397	1007
581	1400	1005
582	1403	1003
583	1405	1001
584	1408	999
585	1411	997
586	1414	995
587	1417	993
588	1420	991
589	1423	989
590	1426	986
591	1428	984
592	1431	982
593	1434	980
594	1436	978
595	1439	975
596	1442	973
597	1445	971
598	1447	969
599	1450	967
600	1453	964
601	1456	962
602	1459	960
603	1461	958
604	1465	956
605	1467	954
606	1470	952
607	1473	950
608	1478	949
609	1481	947
610	1484	945
611	1487	942
612	1489	940
613	1492	937
614	1495	935
615	1497	933
616	1500	931
617	1502	928
618	1504	926
619	1507	923
620	1510	921
621	1513	919
622	1515	917
623	1517	914
624	1519	911
625	1521	909
626	1524	906
627	1527	904
628	1529	902
629	1532	899
630	1534	897
631	1536	894
632	1539	892
633	1542	890
634	1544	887
635	1546	885
636	1549	882
637	1551	880
638	1553	877
639	1555	875
640	1557	872
641	1560	870
642	1562	867
643	1564	865
644	1566	862
645	1569	859
646	1571	857
647	1573	854
648	1575	852
649	1577	849
650	1579	846
651	1581	844
652	1584	841
653	1586	839
654	1588	836
655	1590	834
656	1592	831
657	1595	829
658	1597	826
659	1599	823
660	1601	821
661	1603	818
662	1606	816
663	1608	814
664	1610	811
665	1612	808
666	1615	806
667	1617	803
668	1619	801
669	1621	798
670	1623	796
671	1626	793
672	1628	791
673	1630	788
674	1632	785
675	1633	783
676	1635	780
677	1638	778
678	1640	775
679	1642	772
680	1644	770
681	1646	767
682	1648	765
683	1650	762
684	1652	759
685	1655	757
686	1657	755
687	1659	752
688	1661	750
689	1663	747
690	1665	744
691	1667	742
692	1670	739
693	1672	737
694	1674	734
695	1676	732
696	1678	729
697	1680	727
698	1682	724
699	1684	721
700	1686	719
701	1688	716
702	1690	714
703	1692	711
704	1694	709
705	1696	706
706	1698	703
707	1700	701
708	1702	698
709	1705	696
710	1707	694
711	1709	691
712	1711	689
713	1714	686
714	1716	684
715	1718	681
716	1720	679
717	1722	676
718	1724	674
719	1726	671
720	1728	668
721	1730	666
722	1732	663
723	1734	661
724	1737	658
725	1739	656
726	1741	654
727	1743	651
728	1745	649
729	1747	646
730	1749	643
731	1752	641
732	1754	639
733	1756	636
